date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:01:56	184570/184570	---MCZ	200	added ('OK')	text/html	etag:W/%2209e199c44d5f974ad9650cc88750760e%22	https://wellness-massagen-nuernberg.de/	C:/Users/rolfw/OneDrive/Dokumente/Meine%20Webseiten/Wellness/index.html	(from )
18:01:56	20/20	---MCZ	200	added ('OK')	text/plain	date:Fri,%2025%20Jun%202021%2016:01:55%20GMT	https://wellness-massagen-nuernberg.de/robots.txt		(from )
18:01:58	58935/58935	---M-Z	200	added ('OK')	text/css	etag:%225qdWIg%22	https://static.leadpages.net/fonts/font-awesome/5.14.0/css/all.min.css	C:/Users/rolfw/OneDrive/Dokumente/Meine%20Webseiten/Wellness/fonts/font-awesome/5.14.0/css/all.min.css	(from https://wellness-massagen-nuernberg.de/)
18:01:58	12555/12555	---M-Z	200	added ('OK')	application/javascript	etag:%22OMWYXg%22	https://js.center.io/center.js	C:/Users/rolfw/OneDrive/Dokumente/Meine%20Webseiten/Wellness/center.js	(from https://wellness-massagen-nuernberg.de/)
18:01:58	88145/88145	---M--	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202019%2014:37:17%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	C:/Users/rolfw/OneDrive/Dokumente/Meine%20Webseiten/Wellness/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://wellness-massagen-nuernberg.de/)
18:02:00	2194/2194	---M-Z	403	error ('Forbidden')	text/html	date:Fri,%2025%20Jun%202021%2016:01:57%20GMT	http://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/Users/rolfw/OneDrive/Dokumente/Meine%20Webseiten/Wellness/translate_a/element.3a0d8.delayed	(from https://wellness-massagen-nuernberg.de/)
18:02:01	179895/179895	---MCZ	200	added ('OK')	text/html	etag:W/%22ad7b912ec88c7860abff7c33e328a363%22	https://wellness-massagen-nuernberg.de/leistung/	C:/Users/rolfw/OneDrive/Dokumente/Meine%20Webseiten/Wellness/leistung/index.html	(from https://wellness-massagen-nuernberg.de/)
18:02:01	167068/167068	---MCZ	200	added ('OK')	text/html	etag:W/%229e0807c8b47c655b38dde24e1eadfbbb%22	https://wellness-massagen-nuernberg.de/contact/	C:/Users/rolfw/OneDrive/Dokumente/Meine%20Webseiten/Wellness/contact/index.html	(from https://wellness-massagen-nuernberg.de/)
18:02:01	181222/181222	---MCZ	200	added ('OK')	text/html	etag:W/%222c4a23dc56632c6102c8ca9f9e258f9a%22	https://wellness-massagen-nuernberg.de/about/	C:/Users/rolfw/OneDrive/Dokumente/Meine%20Webseiten/Wellness/about/index.html	(from https://wellness-massagen-nuernberg.de/)
18:02:01	4614/4614	---M--	200	added ('OK')	application/javascript	etag:%22faea56fc1563324171b3d629ebf0f701%22	https://s3.eu-central-1.amazonaws.com/website-tutor/cookiehinweis/script.js	C:/Users/rolfw/OneDrive/Dokumente/Meine%20Webseiten/Wellness/website-tutor/cookiehinweis/script.js	(from https://wellness-massagen-nuernberg.de/)
